sales,month,year,display_size,primary_camera,ram,storage,battery,prices,market
0.32,10,2013,5.5,8.0,2048.0,32.0,3100.0,416.44,google-play
0.35,11,2013,5.5,8.0,2048.0,32.0,3100.0,404.31,google-play
0.15,12,2013,5.5,8.0,2048.0,32.0,3100.0,392.53,google-play
0.1,1,2014,5.5,8.0,2048.0,32.0,3100.0,381.1,google-play
0.12,2,2014,5.5,8.0,2048.0,32.0,3100.0,370.0,google-play
0.11,3,2014,5.5,8.0,2048.0,32.0,3100.0,360.21,google-play
0.11,4,2014,5.5,8.0,2048.0,32.0,3100.0,345.55,google-play
0.07,5,2014,5.5,8.0,2048.0,32.0,3100.0,356.12,google-play
0.02,6,2014,5.5,8.0,2048.0,32.0,3100.0,331.71,google-play
0.02,7,2014,5.5,8.0,2048.0,32.0,3100.0,318.89,google-play
0.3,9,2013,5.7,12.0,3072.0,32.0,3200.0,583.73,google-play
0.55,10,2013,5.7,12.0,3072.0,32.0,3200.0,566.73,google-play
1.03,11,2013,5.7,12.0,3072.0,32.0,3200.0,550.22,google-play
1.05,12,2013,5.7,12.0,3072.0,32.0,3200.0,534.19,google-play
0.43,1,2014,5.7,12.0,3072.0,32.0,3200.0,518.64,google-play
0.66,2,2014,5.7,12.0,3072.0,32.0,3200.0,503.53,google-play
0.73,3,2014,5.7,12.0,3072.0,32.0,3200.0,501.79,google-play
0.45,4,2014,5.7,12.0,3072.0,32.0,3200.0,476.57,google-play
0.31,5,2014,5.7,12.0,3072.0,32.0,3200.0,477.78,google-play
0.36,6,2014,5.7,12.0,3072.0,32.0,3200.0,481.76,google-play
0.5,7,2014,5.7,12.0,3072.0,32.0,3200.0,484.96,google-play
0.42,8,2014,5.7,12.0,3072.0,32.0,3200.0,454.64,google-play
0.38,9,2014,5.7,12.0,3072.0,32.0,3200.0,412.72,google-play
0.31,10,2014,5.7,12.0,3072.0,32.0,3200.0,371.14,google-play
0.26,11,2014,5.7,12.0,3072.0,32.0,3200.0,433.4,google-play
0.26,12,2014,5.7,12.0,3072.0,32.0,3200.0,410.61,google-play
