FOD_ID,STAT_CAUSE_DESCR,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,distance,air_temperature,relative_humidity,wind_speed,precipitation,AQI_AGGREGATE,month
300201796,Lightning,0.1,0,41.76805556,-123.43305556,CA,8.04,16.39,85.0,1.565,2.159,0.0,1
300201797,Lightning,0.1,0,41.80027778,-123.41194444,CA,5.01,15.56,40.0,2.68,923.036,0.0,1
300201798,Lightning,0.25,0,41.63972222,-123.47555556,CA,1.65,18.33,91.0,0.9,1224.026,0.0,1
300201799,Lightning,80.0,0,41.75472222,-123.51833333,CA,8.59,22.22,37.0,0.9,6.096,0.0,1
300201800,Lightning,0.1,0,41.75944444,-123.52305556,CA,8.99,22.22,37.0,0.9,6.096,0.0,1
300201801,Lightning,0.1,0,41.79333333,-123.17555556,CA,0.48,20.0,44.0,0.45,226.314,0.0,1
300201802,Lightning,0.1,0,41.84138889,-123.28833333,CA,3.56,17.22,61.0,1.34,0.0,0.0,1
300201803,Lightning,0.5,0,41.66694444,-123.49138889,CA,2.93,16.67,100.0,2.23,1.778,0.0,1
300201804,Lightning,0.1,0,41.84305556,-123.46166667,CA,5.66,7.78,78.0,2.23,924.814,0.0,1
300201805,Lightning,0.1,0,41.63666667,-121.85888889,CA,3.33,18.89,54.0,0.9,0.0,0.0,1
300201806,Lightning,0.2,0,41.71583333,-121.81638889,CA,5.16,17.78,63.0,1.79,657.606,0.0,1
300201807,Lightning,0.1,0,41.72,-121.82916667,CA,5.61,13.89,78.0,0.9,660.908,0.0,1
300201808,Lightning,0.1,0,41.635,-121.97083333,CA,9.1,18.33,42.0,0.45,0.508,0.0,1
300201809,Lightning,0.1,0,41.67,-121.91916667,CA,6.68,18.33,42.0,0.45,0.508,0.0,1
300201810,Lightning,0.1,0,41.62166667,-121.9175,CA,6.5,9.44,94.0,0.45,9.652,0.0,1
300201811,Lightning,0.1,0,41.70277778,-121.81805556,CA,4.3,17.78,63.0,1.79,657.606,0.0,1
300201812,Lightning,0.1,0,41.70611111,-121.8325,CA,4.78,18.33,42.0,0.45,0.508,0.0,1
300201813,Lightning,0.1,0,41.75194444,-121.72666667,CA,8.31,18.89,54.0,0.9,0.0,0.0,1
300201814,Lightning,0.1,0,41.66861111,-121.68111111,CA,7.42333333333334,18.3333333333333,51.0,1.79,99.187,0.0,1
300201815,Lightning,0.1,0,41.61666667,-121.97194444,CA,9.32,9.44,94.0,0.45,9.652,0.0,1
300201816,Lightning,0.6,0,41.62444444,-121.75527778,CA,5.1,9.165,89.0,0.9,6.858,0.0,1
300201817,Lightning,2.7,0,41.64,-122.1,CA,8.93,6.11,93.0,0.67,309.372,0.0,1
300201819,Miscellaneous,67.92,0,41.63638889,-121.86277778,CA,3.54,15.56,45.0,0.45,14.224,0.0,1
300201820,Debris Burning,0.9,0,41.59055556,-121.90833333,CA,6.89,3.89,90.0,0.45,30.226,0.0,1
300201821,Lightning,0.1,0,41.84861111,-122.73916667,CA,8.02333333333333,18.6933333333333,65.6666666666667,0.926666666666667,0.0,0.0,1
300201822,Lightning,0.2,0,41.84527778,-122.74944444,CA,7.11,15.43,94.0,0.555,30.48,0.0,1
300201823,Lightning,25.18,0,41.82861111,-123.04,CA,7.83,20.555,42.5,0.895,25.527,0.0,1
300201824,Lightning,0.1,0,41.83722222,-122.88388889,CA,3.645,18.61,71.5,2.24,569.087,0.0,1
300201826,Lightning,0.7,0,41.68194444,-121.73027778,CA,6.61,14.17,63.0,1.79,657.606,0.0,1
300201827,Lightning,0.1,0,41.82222222,-122.89694444,CA,3.485,15.56,81.5,0.225,17.78,0.0,1
300201828,Equipment Use,3.72,0,41.93444444,-122.77944444,CA,8.73333333333333,18.8433333333333,50.5,0.505,567.69,0.0,1
300201830,Lightning,0.23,0,41.66527778,-121.7725,CA,5.89,13.885,42.0,0.45,0.508,0.0,1
300201831,Lightning,0.1,0,41.80055556,-122.15138889,CA,2.15,15.0,71.0,0.9,31.242,0.0,1
300201832,Lightning,0.1,0,41.80027778,-122.84277778,CA,4.27,16.945,69.0,0.0,0.381,0.0,1
300201833,Lightning,0.1,0,41.50611111,-122.02027778,CA,9.99,11.67,64.0,2.68,597.662,0.0,1
300201834,Lightning,6.2,0,41.77694444,-122.80083333,CA,6.365,14.445,64.0,0.67,26.162,45.6666666666667,1
300201836,Lightning,0.1,0,41.97861111,-122.75194444,CA,7.405,12.25,91.0,0.56,1193.8,0.0,1
300201837,Lightning,0.25,0,41.79111111,-122.74444444,CA,7.17,18.24,67.0,0.695,0.0,41.4444444444444,1
300201838,Lightning,0.2,0,41.99861111,-122.81083333,CA,4.36,13.2,,,1158.24,0.0,1
300201840,Lightning,0.25,0,41.91222222,-122.96055556,CA,8.565,16.945,69.0,0.0,0.381,0.0,1
300201841,Lightning,0.25,0,41.70888889,-121.73638889,CA,5.46,21.11,30.0,1.34,11.684,0.0,1
300201842,Lightning,0.1,0,41.94666667,-122.74888889,CA,8.95,14.09,90.3333333333333,0.28,612.14,0.0,1
300201843,Lightning,0.1,0,41.56527778,-121.81361111,CA,5.45,9.44,94.0,0.45,9.652,0.0,1
300201844,Lightning,0.1,0,41.83972222,-122.89166667,CA,3.79,18.61,71.5,2.24,569.087,0.0,1
300201846,Lightning,0.1,0,41.82222222,-122.83888889,CA,3.965,16.945,69.0,0.0,0.381,0.0,1
300201847,Debris Burning,0.1,0,40.77583333,-121.50527778,CA,7.39,5.0,70.0,0.0,35.56,0.0,1
300201848,Debris Burning,0.1,0,40.74555556,-121.4675,CA,9.91,3.89,69.0,2.23,217.678,0.0,1
